USC00030664        3449Q
USC00030764        3569R
USC00030798        3294S
USC00030806        3613S
USC00030832        3545S
USC00030936        3370R
USC00031102        3346R
USC00031132        4182S
USC00031140        2961R
USC00031152        2886S
USC00031191        2820R
USC00031442        3313R
USC00031455        3693R
USC00031457        3836Q
USC00031459        3467R
USC00031596        3472R
USC00031632        3819S
USC00031730        2902S
USC00031838        3148S
USC00031900        4651S
USC00031948        3131S
USC00031962        2768S
USC00031968        3191R
USC00032148        2747S
USC00032355        2427S
USC00032356        3981R
USC00032366        3840R
USC00032444        4013R
USC00032540        3221S
USC00032794        3986S
USC00032930        3767S
USC00032962        3905R
USC00032978        3727S
USC00033132        3801Q
USC00033242        3046R
USC00033428        2987S
USC00033466        3132S
USC00033544        3760S
USC00033734        3846S
USC00033821        3421S
USC00033862        2959S
USC00033909        4274Q
USC00034106        4611S
USC00034134        3247R
USC00034185        2740R
USC00034528        3522Q
USC00034548        2831S
USC00034562        3180R
USC00034572        4371S
USC00034638        3200S
USC00034666        4069R
USC00034711        3419Q
USC00034756        3635R
USC00034938        3584R
USC00034988        3724S
USC00035018        3808R
USC00035036        4015R
USC00035046        3796R
USC00035079        3376R
USC00035112        2800S
USC00035186        3620S
USC00035200        3508R
USC00035376        2652R
USC00035508        3768R
USC00035512        3719R
USC00035563        3723S
USC00035754        2956R
USC00035820        4058R
USC00035831        3730Q
USC00035866        2849S
USC00035908        3187S
USC00036174        2606Q
USC00036253        2867S
USC00036376        3025R
USC00036403        4359Q
USC00036506        3531S
USC00036562        3204S
USC00036768        3178R
USC00036920        3197S
USC00036928        3427S
USC00037488        3623S
USC00037582        2950S
USC00037712        3317S
USC00038010        3712Q
USC00038052        3600S
USC00038084        3929R
USC00040029        5696R
USC00040136        1909R
USC00040161        6699R
USC00040192         880R
USC00040212        3328S
USC00040232        2478R
USC00040343        2740S
USC00040379        3117S
USC00040383        2895S
USC00040436        1823R
USC00040444        2369Q
USC00040449        2880R
USC00040521        2381R
USC00040673        2735S
USC00040693        2701R
USC00040738        3802R
USC00040741        6402S
USC00040755        4800Q
USC00040790        2922R
USC00040924        1163R
USC00040931        8012S
USC00040943        9925S
USC00040983        1068S
USC00041018        5689R
USC00041048         996R
USC00041072        8050S
USC00041214        6508R
USC00041244        2404S
USC00041253        2045S
USC00041277        5915S
USC00041312        2700R
USC00041316        5627C
USC00041428        2689S
USC00041476        6800R
USC00041484        1696R
USC00041497        6354S
USC00041534        2749Q
USC00041606        5152R
USC00041614        6413S
USC00041697        4866S
USC00041700        6750R
USC00041715        2779R
USC00041738        1524Q
USC00041754        5047Q
USC00041758        1265R
USC00041806        3713R
USC00041838        2443R
USC00041864        2245S
USC00041912        3875S
USC00041948        2589R
USC00041967        2203R
USC00042012        2492S
USC00042081        3824S
USC00042147        4762S
USC00042214        1368R
USC00042239        4916R
USC00042294        2611S
USC00042319        1120R
USC00042331        5108R
USC00042338        4556R
USC00042402        3927R
USC00042410        1172Q
USC00042456        3397R
USC00042467        7702S
USC00042500        4718S
USC00042506        5725R
USC00042574        4454S
USC00042598        1086S
USC00042640        3457R
USC00042671        7706R
USC00042706        1297R
USC00042709        1472R
USC00042713         864S
USC00042728        2959R
USC00042771        3243S
USC00042805        1744R
USC00042863        1329R
USC00042934        2492S
USC00042941        3158R
USC00043083        2314R
USC00043113        2460R
USC00043157        6436S
USC00043161        4945R
USC00043191        3966R
USC00043244        2382R
USC00043256        2271R
USC00043261        2472R
USC00043384        3723Q
USC00043392        1354Q
USC00043417        2343R
USC00043463        4369S
USC00043489         784R
USC00043551        6577S
USC00043573        4052R
USC00043578        3100C
USC00043647        4489R
USC00043669        4273R
USC00043710        2653S
USC00043714        3948R
USC00043747        2586S
USC00043824        5761S
USC00043855        1453S
USC00043875        2422S
USC00043882        2645Q
USC00043896        1782R
USC00043914        3797R
USC00043939        4773S
USC00044025        2667R
USC00044176        7232R
USC00044211        4359S
USC00044223        1017S
USC00044232        3329S
USC00044259         704R
USC00044278        2590R
USC00044297         951S
USC00044303        1229Q
USC00044374        6898R
USC00044405        2237Q
USC00044412        3730Q
USC00044500        2714R
USC00044523        3008R
USC00044534        2405Q
USC00044555        2281S
USC00044577        5158R
USC00044647        1502R
USC00044671        5401S
USC00044712        2391R
USC00044713        6338R
USC00044735        1085R
USC00044838        6467S
USC00044881        6358R
USC00044890        2298C
USC00044957        2344R
USC00044997        2562S
USC00045026        8301S
USC00045032        2490R
USC00045064        2447R
USC00045118        2284S
USC00045120        2361R
USC00045123        2673S
USC00045233        2666R
USC00045280        8204R
USC00045311        7415S
USC00045360        2931S
USC00045378        2977S
USC00045385        2243R
USC00045449        5566R
USC00045502         954R
USC00045532        2572S
USC00045679        7156S
USC00045721        2839S
USC00045756        2834R
USC00045790         849R
USC00045795        3414S
USC00045802        3561R
USC00045853        2133Q
USC00045866        2407R
USC00045892        4193Q
USC00045915        3242R
USC00045933        4527S
USC00045968        4371Q
USC00046006        3674R
USC00046074        2511S
USC00046136        4100S
USC00046144        2323S
USC00046154        3035R
USC00046161        1822R
USC00046168        2084R
USC00046172        3023R
USC00046174        2642R
USC00046175        1523R
USC00046252        3581Q
USC00046263        1396R
